,studio,movie_count,metascore_mean,domestic_gross_median,metascore_mean_bucket,domestic_gross_median_bucket,movie_count_bucket
289,Truly Indie,1,51.0,9613.0,M,L,S
290,Twentieth Century Fox,1,46.0,49876377.0,M,L,S
291,Twentieth Century Fox Film Corporation,160,51.25,48965767.0,M,L,B
292,Twentieth Century Fox Home Entertainment,1,28.0,4627375.0,L,L,S
293,USA Films,11,74.0,7504257.0,H,L,M
294,UTV,1,45.0,5307960.0,M,L,S
295,UTV Motion Pictures,7,40.0,777373.0,L,L,S
296,Unapix Entertainment Productions,1,70.0,2554.0,M,L,S
297,United Artists,21,64.8571428571,23530892.0,M,L,M
298,Universal Focus,1,74.0,21995263.0,H,L,S
299,Universal Home Entertainment,1,89.0,44585453.0,H,L,S
300,Universal Pictures,211,54.672985782,49438370.0,M,L,B
301,Universal Studios Home Entertainment,1,28.0,56574.0,L,L,S
302,Variance Films,10,65.8,50345.0,M,L,S
303,Vertical Entertainment,2,49.0,4288.0,M,L,S
304,Vestron Pictures,1,65.0,63954274.0,M,L,S
305,Viacom18 Motion Pictures,1,42.0,,M,H,S
306,Village Roadshow Entertainment,1,77.0,198000317.0,H,L,S
307,Vitagraph Films,4,61.25,111221.5,M,L,S
308,Vivendi Entertainment,2,35.5,1588015.0,L,L,S
309,Walt Disney Pictures,3,56.6666666667,35291068.0,M,L,S
310,Walt Disney Studios,1,94.0,10055859.0,H,L,S
311,Walt Disney Studios Motion Pictures,45,55.0,79884879.0,M,L,B
312,Warner Bros.,15,54.8666666667,47047013.0,M,L,M
313,Warner Bros. Domestic Television Distribution,1,78.0,18715392.0,H,L,S
314,Warner Bros. Entertainment,1,41.0,103860290.0,M,L,S
315,Warner Bros. Pictures,233,52.8111587983,46294610.0,M,L,B
316,Warner Brothers/Seven Arts,1,81.0,,H,H,S
317,Warner Home Video,5,42.4,59694580.0,M,L,S
318,Warner Independent Pictures (WIP),14,67.2857142857,5525769.5,M,L,M
319,"Weinstein Company, The",63,58.7258064516,7693187.0,M,L,B
320,Well Go,3,55.6666666667,66099.0,M,L,S
321,Well Go USA Entertainment,6,49.25,21519.0,M,L,S
322,Wellspring Media,6,69.3333333333,572691.0,M,L,S
323,Wolfe Releasing,1,66.0,8614.0,M,L,S
324,XLrator Media,1,30.0,40400.0,L,L,S
325,Ximotion Media,1,67.0,256682.0,M,L,S
326,Yari Film Group Releasing,3,68.0,20521142.5,M,L,S
327,Yash Raj Films,1,,496172.0,H,L,S
328,Zeitgeist Films,15,76.8666666667,233380.0,H,L,M
329,Zipporah Films,1,89.0,253941.0,H,L,S
330,erbp,1,81.0,444098.0,H,L,S
331,thinkfilm,9,66.4444444444,1815864.0,M,L,S
